word,valence
féminine,7.6
femme,7.39
fenêtre,5.74
fer,4.79
fermeture,3.62
féroce,3.32
fertilité,6.03
fête,8.34
feu,6.03
feuille,5.92
fève,5.78
fidélité,8.03
fièvre,1.97
fil,5.05
fille,5.97
film,7.78
flèche,5.32
fléchette,4.97
fleur,7.21
flocon,7.03
fléte,4.95
foin,5.3
folie,6.7
football,4.47
force,6.49
forêt,6.57
forme,5.81
fort,7.04
fortune,6.99
fouet,3.59
fourchette,5.5
fourmi,5.03
fraise,7.27
framboise,7.6
français,5.91
franchise,7.4
frein,5.22
fréquence,4.87
frigidaire,5.81
frite,7.22
fromage,6.42
front,4.89
fruit,7.22
fumée,3.42
fusée,5.97
gaieté,8.16
gant,4.68
garage,5.05
garçon,6.51
gâteau,7.57
gauche,5.06
gaufre,7.34
génie,7.21
genre,5.2
gens,5.11
gentillesse,8.11
geste,5.24
gilet,5.16
girafe,6.02
glace,7.06
gloire,7.63
gomme,4.92
gorge,4.54
gorille,5.41
gourde,5.22
goutte,5.11
grain,5.14
grand,6.14
grenouille,5.62
griffe,4.78
grillepain,5.22
grimace,5.49
groupe,5.81
grue,4.93
guerre,2.38
guitare,6.46
gym,6.05
hache,4.51
haine,1.56
harpe,6.58
hélice,4.86
hélicoptère,5.58
hérédité,5.29
hérisson,6.22
heure,4.14
hibou,5.76
hier,4.95
hippocampe,6.38
hippopotame,6.13
homard,5.55
homme,6.86
horloge,4.57
horreur,3.72
hotte,5.43
houx,5.66
huître,3.77
humeur,6.53
humour,8.43
hypothèse,5.45
idée,7.0
île,7.94
illusion,4.67
imagination,7.73
immensité,6.45
index,4.99
indien,5.81
infini,6.53
infirmière,5.92
injustice,1.39
intelligence,7.08
interrupteur,4.83
intuition,7.11
ironie,6.16
isolement,2.09
jalousie,2.68
jambe,5.46
jambon,6.73
jardin,6.81
jaune,5.89
jeu,7.7
jeune,7.05
joie,8.58
joli,7.85
jouet,6.86
journal,4.97
jugement,4.03
jumelles,5.68
jungle,6.59
jupe,6.3
jus,6.81
justice,5.65
kangourou,6.57
klaxon,4.41
lacet,4.84
laid,2.53
laine,5.61
laisse,4.52
lait,5.47
laitue,5.59
lampe,5.39
landau,5.59
langue,6.22
lapin,6.84
large,4.52
larme,2.49
lassitude,2.44
lavabo,5.04
léger,6.57
légume,6.03
lent,3.87
léopard,6.11
lettre,6.08
lèvres,7.76
lézard,5.62
libellule,6.24
liberté,8.24
licence,6.62
licorne,6.71
lieu,5.14
ligne,4.92
limace,3.76
linge,4.65
lion,6.7
lionceau,6.79
lisse,5.21
lit,8.34
livre,6.16
locomotive,5.65
loi,5.03
long,4.96
longue,5.0
louche,5.12
loup,5.54
loupe,4.33
lourd,3.38
luge,6.8
lumière,6.97
lune,6.92
lunettes,4.95
luxe,6.25
machine,4.81
magicien,7.0
maillot,6.7
main,6.05
mas,5.62
maison,7.08
maîtrise,6.51
mal,1.74
maladie,1.6
malédiction,2.34
malheur,1.92
malice,5.87
malle,5.05
manche,4.98
manège,6.7
manque,2.34
manteau,5.63
mare,4.94
marelle,5.49
mariage,5.49
marin,4.86
marteau,5.0
masque,5.19
maths,4.46
matin,4.11
méchanceté,2.32
mèche,5.35
médaille,7.0
médecine,6.17
médicament,3.12
méduse,3.06
mélange,6.21
mémoire,6.86
mensonge,2.62
menthe,6.24
mer,7.54
mère,7.08
mesure,4.75
méthode,5.43
mètre,4.5
meuble,4.86
micro,5.03
miette,4.36
minute,4.92
miracle,8.14
miroir,5.54
miséricorde,3.65
moelleux,7.37
moment,5.83
monarchie,2.97
monde,6.28
montagne,6.82
montre,5.65
morale,5.94
moto,5.76
mouche,3.7
moufle,4.76
moule,5.57
moulin,4.57
mousse,6.16
moustache,4.44
moustique,2.42
mouton,5.41
moyen,4.71
mur,4.19
muscle,6.18
musique,8.49
mutation,4.47
nage,6.12
nappe,4.73
natte,5.47
nature,6.43
neige,7.65
neutre,4.9
nez,5.0
niche,5.19
nid,5.62
nihilisme,4.21
noblesse,5.52
noeud,4.08
noir,4.01
noix,4.81
norme,4.63
note,4.14
nuage,6.03
nuit,7.78
obscur,3.62
observation,5.66
obstination,5.84
occident,5.33
oeil,5.92
oeuf,4.84
oie,4.86
oignon,4.24
oiseau,6.82
olive,5.74
oncle,6.0
ongle,4.68
onze,5.32
opinion,6.79
orange,5.92
ordre,5.28
oreille,5.68
oreiller,7.05
orteil,4.84
os,4.3
osier,4.96
oubli,2.65
ours,6.0
outil,5.23
pacifisme,7.37
pacte,5.78
pain,6.51
paix,7.7
panda,7.24
panier,5.12
pantalon,5.84
paon,6.41
papier,4.86
papillon,6.97
paquet,5.34
parachute,6.44
paradis,6.65
parapluie,4.08
parc,6.59
pardon,6.82
paresseux,3.75
passion,8.16
pastèque,6.89
pâte,6.59
patins,5.35
paupière,4.97
pays,6.03
pêche,6.22
peigne,4.97
peine,2.0
peinture,5.84
pelle,4.65
pelote,5.03
pendule,4.9
pensée,6.83
pénurie,1.68
perceuse,4.05
père,6.73
pèrenoïl,6.89
perroquet,6.3
petit,4.95
petitspois,4.7
peur,3.03
phénomène,5.39
phoque,5.95
phrase,5.54
piano,7.14
pièce,6.08
pied,5.0
pigeon,4.03
pile,5.03
pince,3.71
pinceau,5.97
pingouin,7.05
pion,4.46
pipe,5.25
piscine,7.41
pistolet,2.43
pitié,2.83
placard,4.76
place,5.3
plage,7.82
plaisir,8.22
planche,4.92
planète,6.43
plante,6.25
plat,6.38
pluie,4.51
plume,6.14
pneu,4.73
poche,4.84
poêle,5.05
poids,3.81
poignée,5.09
poing,3.53
poire,5.92
poireau,4.72
poisson,6.49
poivron,5.57
politique,3.11
pomme,6.65
pont,5.08
population,5.22
porte,5.02
possibilité,7.19
poste,4.3
postulat,5.04
pot,5.11
poteau,4.32
poubelle,2.95
pouce,5.08
poule,5.11
poulet,6.38
poupée,5.19
