word,valence
misshandlung,-2.6
unfall,-2.35
erfolg,2.1
aktivieren,0.81
bewundert,1.44
anbetungswürdig,0.4
zuneigung,1.9
ängstlich,-1.38
aggressiv,-1.6
qual,-2.7
alarm,-2.55
allein,-1.8
entfernt,-0.6
ehrgeiz,1.5
krankenwagen,-0.79
engel,2.15
ärger,-1.9
verärgert,-1.27
verängstigt,-1.56
ärgern,-1.22
gespannt,0.73
beweglichkeit,1.53
armee,-2.1
erregt,1.0
arrogant,-1.93
ermorden,-2.21
angriff,-2.0
erstaunt,0.67
herbst,1.1
überwältigt,0.54
baby,1.9
bankrott,-2.3
bastard,-1.5
strand,2.1
schönheit,2.06
bettler,-1.05
verraten,-1.65
vogel,1.2
geburtstag,1.91
erpressung,-2.07
blasiert,-1.13
segnen,1.3
blind,-1.64
blühen,1.6
gewagt,0.37
bombe,-2.5
buch,1.91
gelangweilt,-1.36
schüssel,0.43
junge,0.8
busen,1.85
bruder,1.68
brutal,-2.0
häschen,1.33
belastet,-1.68
beerdigung,-2.07
butter,0.6
schmetterling,1.75
torte,1.6
krebs,-1.86
bonbon,1.7
fähig,1.38
sorglos,0.3
liebkosung,1.87
friedhof,-1.6
stuhl,0.5
sieger,1.75
charme,2.3
stimmung,1.0
kind,1.8
kirche,0.05
zirkus,0.85
stadt,0.87
kleidung,0.6
kakerlake,-1.73
sarg,-2.3
komödie,1.64
konzentriert,1.0
überzeugt,1.47
wirr,-0.93
getröstet,1.14
geringschätzung,-1.67
inhalt,0.0
kontext,0.53
kontrollierend,-0.76
leiche,-2.45
häuschen,1.0
gemütlich,1.82
krone,1.15
kreuzigen,-2.21
grausam,-2.2
platt,-0.53
kuscheln,2.25
neugierig,1.2
brauch,0.42
süß,1.67
wirbelsturm,-0.88
dolch,-1.3
tod,-2.8
schulden,-1.8
verwesung,-2.03
besiegt,-0.55
aufmüpfig,-0.63
wonne,1.85
dämon,-1.43
deprimiert,-1.75
depression,-2.4
deserteur,-0.56
verzweifelt,-1.67
verachten,-1.74
zerstören,-2.53
unparteiisch,0.87
hassen,-2.5
teufel,-1.95
gewidmet,1.16
diamant,1.7
würdevoll,1.73
diplom,1.8
enttäuschen,-1.69
desaster,-1.67
niedergeschlagen,-2.15
eingebildet,-1.27
angeekelt,-1.67
illoyal,-1.93
missfallen,-1.71
trübsinnig,-1.4
scheidung,-1.81
doktor,0.8
tür,0.47
grässlich,-1.87
traum,1.5
kleid,0.67
erde,1.9
duldsam,0.74
essen,1.56
bildung,1.88
euphorisch,1.63
elegant,1.27
mühsam,-1.33
umkämpft,-1.45
engagiert,1.81
genuss,2.13
langeweile,-1.4
anstellung,0.94
motor,0.45
wütend,-1.21
erledigung,0.6
exzellenz,0.25
begeisterung,2.33
ausrede,-1.06
hinrichtung,-2.67
übung,0.14
scheitern,-1.94
ruhm,1.7
familie,1.8
faszinieren,1.93
fett,-1.5
vater,2.1
erschöpft,-0.67
furchtsam,-1.17
schwach,-1.6
schmutz,-1.1
feuer,0.05
wabbelig,-1.6
blume,2.15
stinkend,-1.87
duft,1.7
betrug,-2.05
frei,2.4
freiheit,2.8
freund,2.56
freundlich,1.93
frosch,-0.09
frustriert,-1.93
begräbnis,-2.07
pilz,-0.5
pelz,-0.3
wundbrand,-2.44
abfall,-1.7
zart,1.7
geschenk,2.3
mädchen,1.32
gletscher,0.57
glamour,0.87
pessimismus,-1.79
gott,1.5
gold,1.4
graduiert,0.57
dankbar,1.64
grün,1.2
leid,-2.0
guillotine,-2.29
schuldig,-1.4
hammer,-0.32
hübsch,1.81
glücklich,1.93
hass,-2.29
kopfschmerz,-2.0
gesundheit,1.97
himmel,2.25
wehrlos,-1.7
verstecken,-0.43
geschichte,0.76
heim,-0.21
ehrlich,2.2
ehre,0.91
hoffnungsvoll,1.86
abscheu,-2.1
pferd,1.18
krankenhaus,-0.66
geisel,-2.2
feindlich,-1.93
umarmung,1.93
bescheiden,1.07
humor,2.15
hungrig,-1.07
verletzt,-1.8
idiot,-2.0
impotent,-1.95
beeindruckt,1.31
verbessern,0.94
industrie,-0.65
infektion,-2.19
tinte,0.35
unsicher,-0.87
dreist,-1.07
inspirieren,1.47
inspiriert,1.6
interesse,1.62
irritieren,-0.73
gefängnis,-2.26
eifersucht,-1.44
marmelade,0.8
schmuck,1.3
jubel,2.0
jubilant,0.76
gerechtigkeit,2.33
kerosin,-0.67
mörder,-2.44
liebenswürdigkeit,2.0
könig,0.6
kuss,2.25
kenntnis,1.15
see,1.82
lachen,2.65
lernen,0.8
gemächlich,1.16
lepra,-2.4
läuse,-1.44
lüge,-2.12
leben,2.38
teilnahmslos,-1.0
einsamkeit,-1.71
einsam,-2.2
laus,-1.2
liebe,2.9
geliebt,2.4
loyal,2.1
einglückspilzsein,2.03
köstlich,2.18
luxus,1.7
made,-1.36
bösartigkeit,-2.13
meisterhaft,1.33
masern,-1.36
demütig,-0.84
erinnerung,1.41
bedrohung,-1.86
kräftig,1.4
schimmelpilz,-1.88
millionär,1.18
wunder,1.85
moment,0.38
geld,1.6
monat,0.3
krankhaft,-1.73
leichenschauhaus,-2.25
mutter,2.05
berg,0.93
film,1.5
muskulös,1.13
musik,2.4
verstümmeln,-2.33
natur,2.35
nektar,1.2
alptraum,-2.8
lässig,1.33
ozean,1.9
meinung,1.5
orchester,0.8
schmerz,-1.74
palast,1.7
papier,0.13
paradies,2.8
feier,2.1
leidenschaft,2.0
patent,0.31
frieden,2.53
bleistift,0.5
vollkommenheit,1.8
person,0.5
pervers,-2.1
pest,-2.8
kuchen,1.6
kissen,1.65
pflanze,1.5
poesie,1.2
gift,-2.5
höflichkeit,1.6
verschmutzen,-1.33
armut,-1.95
kraft,1.38
mächtig,0.71
weide,1.25
stolz,0.5
pfarrer,0.4
privatheit,0.67
gewinne,1.34
förderung,1.15
behütet,0.97
strafe,-2.4
welpe,1.95
verdorben,-1.53
streit,-2.2
still,0.6
wut,-1.4
radio,0.75
zorn,-1.8
regenbogen,2.25
vergewaltigung,-2.88
ratte,-0.95
rassel,0.46
erfrischung,2.0
reuig,-0.4
zurückgewiesen,-1.75
entspannt,1.53
bedauernd,-0.64
rettung,2.13
reserviert,-0.14
respekt,1.93
ehrfürchtig,0.0
ehrerbietig,0.38
revolte,0.36
belohnung,1.47
reichtum,1.5
spott,-1.2
aufruhr,-0.73
fluss,0.94
romantisch,1.4
verfault,-2.06
unerzogen,-1.33
oxidiert,-0.07
traurig,-2.1
salat,1.35
salut,0.18
saphir,1.5
zufrieden,1.86
retter,2.0
gelehrter,1.81
verachtung,-2.0
verächtlich,-1.79
abschaum,-2.13
skorbut,-1.73
seekrank,-2.0
sitz,0.13
sichern,0.76
egoistisch,-2.01
ernst,-0.27
sex,2.6
schatten,-0.35
beschämt,-1.13
beschützt,1.86
schiff,0.91
schamhaft,-1.18
krankheit,-1.74
seide,1.65
sünde,-0.27
sündig,-0.86
memme,-1.36
skeptisch,-0.21
ohrfeige,-2.0
gemetzel,-2.3
sklave,-2.2
schlafen,2.0
schleim,-1.4
slum,-1.26
pocken,-1.93
snob,-1.4
feierlich,1.69
geist,1.1
ehemann,0.93
quadrat,0.13
stern,1.0
aufgeschreckt,-0.87
krach,-1.4
straße,0.18
stress,-1.33
stark,1.7
dumm,-1.67
kleinlaut,-1.05
ersticken,-1.93
selbstmord,-2.53
morgendämmerung,1.2
sonnenuntergang,2.48
überrascht,0.75
verdächtig,-0.85
verlobter,1.05
syphilis,-2.67
tisch,0.5
talent,2.05
angespannt,-0.93
termite,-0.56
schrecklich,-2.0
genial,2.4
theorie,0.27
dieb,-1.8
dorn,-0.93
rücksichtsvoll,1.46
erschaudern,-1.07
zeit,0.13
schüchtern,-0.73
tabak,0.3
grab,-2.3
zahnschmerzen,-2.52
tornado,-1.5
folter,-2.8
giftig,-1.91
tragödie,-1.33
verräter,-2.13
schatz,2.3
baum,1.5
triumph,2.0
triumphierend,1.0
trophäe,0.93
problem,-1.7
ruhelos,-1.4
trompete,0.33
vertrauen,2.21
wahrheit,2.5
tumor,-2.7
hässlich,-1.87
geschwür,-2.13
untreu,-2.0
unglücklich,-1.86
unbeschwert,1.76
verstimmt,-1.0
nützlich,1.07
nutzlos,-1.33
erholung,2.3
verliebt,2.56
vampir,-0.5
vandale,-1.07
eitelkeit,-1.27
fahrzeug,0.38
sieg,2.2
energisch,0.56
dorf,1.06
gewalttätig,-2.79
tugend,1.4
sehkraft,0.6
erbrochenes,-2.27
krieg,-2.9
wärme,2.18
wespe,-1.2
verschwendung,-1.4
wasser,1.55
wasserfall,1.07
wohlhabend,1.4
waffe,-2.35
müde,-0.93
hochzeit,1.0
hure,-1.3
bösartig,-2.19
gewinnen,1.68
fenster,1.14
wein,1.8
weise,1.8
frau,1.4
welt,1.9
astronaut,0.71
bad,1.2
bargeld,1.8
katze,1.45
schokolade,2.0
paar,1.76
tänzer,1.43
sehnsucht,0.47
abendessen,1.13
taucher,0.29
hund,1.13
erotisch,1.33
feuerwerk,1.8
turner,0.07
verblendung,-1.28
kätzchen,1.4
löwe,0.36
wollust,2.1
nackt,0.8
draußen,0.92
eule,0.64
crepe,1.47
nudeln,0.67
leute,0.75
pizza,1.36
kaninchen,1.2
rutschbahn,0.55
segelboot,0.93
sexy,1.73
sprungschanze,0.27
sonne,2.6
wolken,0.8
straps,0.96
golfer,-0.4
falke,0.56
mann,1.2
krankenschwester,0.6
flugzeug,0.5
tennis,0.33
bus,0.06
weiß,0.35
schwarz,0.3
blau,0.67
gelb,0.56
erwachsen,0.64
korb,0.41
toilette,-0.68
bett,2.0
gebäude,0.64
auto,0.2
computer,0.53
klippe,0.1
kuh,0.4
schaufel,-0.2
gesicht,1.0
bauernhof,1.31
feld,0.63
fisch,0.36
gabel,0.3
föhn,0.41
landstraße,0.14
haus,1.26
hydrant,0.16
eisen,0.2
glühlampe,0.91
champignon,0.73
büro,-0.62
regen,0.32
rot,1.0
flur,0.06
firmament,0.88
wolkenkratzer,0.38
raum,0.74
schnee,1.76
schwimmer,0.38
lastwagen,0.07
regenschirm,0.13
geige,1.5
wache,-0.7
drogenabhängiger,-1.9
alkoholiker,-2.27
bienen,0.31
blutig,-1.8
boxer,0.4
verbrennung,-1.8
zelle,-0.95
tot,-2.5
zahnarzt,-1.5
dreckig,-1.13
ertrinken,-2.2
furcht,-2.2
gewehr,-1.29
schlag,-1.6
verletzung,-1.91
messer,-0.6
lesbe,-0.06
blitz,0.5
masturbieren,0.73
panik,-1.8
eiter,-1.64
erschrocken,-0.93
schrei,-1.6
hai,-0.5
krank,-2.0
schädel,-0.79
schlange,-0.93
spinne,-0.85
ausgehungert,-1.87
chirurgie,-0.13
panzer,-2.2
terrorist,-2.0
müll,-1.2
trauma,-2.05
harn,-0.93
opfer,-2.1
vulkan,0.2
wunden,-2.0
entführung,-2.2
abtreibung,-1.75
absurd,-1.0
überfluss,-0.14
zustimmung,1.21
ass,0.64
beschwerden,-1.48
süchtig,-1.71
vorteil,1.8
abenteuer,1.8
einigung,1.5
luft,2.2
außerirdisch,0.2
alimente,-0.4
lebendig,2.5
allergie,-1.93
gasse,0.36
knöchel,-0.07
antwort,0.94
applaus,1.13
haushaltsgerät,0.13
arm,0.27
kunst,1.82
sportarten,0.6
lawine,-1.0
allee,1.2
backen,1.07
verband,-1.18
plakat,0.7
kneipe,1.3
fass,0.31
badewanne,1.21
bestie,-2.1
wunderschön,2.2
bank,-0.24
trauerfall,-2.24
getränk,1.07
fade,-0.92
blasphemie,-0.93
glück,2.62
blase,-0.7
blond,0.53
geheule,-1.25
tafel,0.2
körper,0.87
flasche,0.45
strauß,0.93
mutig,2.2
brise,0.94
braut,1.0
hell,1.41
kaputt,-1.33
gewehrkugel,-1.29
wichtigtuer,-1.52
schrank,0.27
stock,-0.07
kanone,-1.77
aas,-2.1
kasino,0.5
keller,0.0
champion,1.16
chance,2.1
chaos,-0.05
kinn,0.13
weihnachten,1.19
kreis,0.38
uhr,0.09
ungeschickt,-1.14
grob,-1.4
küste,2.0
münze,0.5
kalt,-0.86
farbe,1.6
säule,0.33
komfort,2.0
koch,0.8
kabel,-0.3
korken,0.13
ecke,-0.07
korrupt,-1.9
feigling,-1.8
verbrechen,-2.03
kriminell,-1.81
krise,-1.9
rüde,-1.16
krücke,-1.95
küche,0.88
gardine,0.06
schnitt,0.14
schaden,-1.79
gefahr,-1.8
dunkel,-0.13
dämmerung,0.71
morgenröte,1.87
blendung,-1.45
schmücken,0.53
unförmig,-1.08
verspätet,-1.2
verwahrlost,-1.91
zerstörung,-2.07
detail,0.2
dreck,-1.5
unbequemlichkeit,-1.03
stören,-1.65
puppe,0.45
dollar,0.6
taube,0.75
düster,-1.2
schaufensterpuppe,0.48
müllkippe,-1.36
einfach,0.67
ekstase,2.0
ei,0.38
ellbogen,-0.19
fahrstuhl,0.23
ereignis,0.47
böse,-1.89
stoff,0.6
absturz,-2.0
falsch,-1.47
berühmt,1.21
phantasie,2.07
schuld,-1.7
gefallen,1.53
fieber,-1.8
kampf,-1.6
finger,0.7
fahne,-0.2
flirt,1.7
flut,-0.8
schaum,0.4
fuß,0.13
eiskalt,-1.25
spaß,2.53
spiel,1.4
garten,1.8
kleidungsstück,0.69
geschlecht,0.19
keime,-1.27
glas,0.64
gut,1.47
klatsch,-0.5
gras,0.77
geiz,-1.6
grüßen,1.2
granate,-2.5
grinsen,1.76
beschwerde,-1.4
gewohnheit,0.07
haarnadel,0.21
hamburger,0.33
hand,1.21
nachteil,-1.3
zufällig,0.2
hart,-0.4
bedrängnisse,-1.53
hut,0.0
heu,0.47
scheinwerfer,0.0
heilen,2.0
herz,2.3
hölle,-1.93
heroin,-2.0
erschweren,-1.14
ferien,2.6
honig,1.8
nutte,-0.84
hoffnung,2.2
hotel,1.15
human,1.9
demütigen,-1.8
hurrikan,-1.38
kühlschrank,0.87
idee,1.53
identität,1.38
idol,0.73
ignoranz,-2.14
gebrechen,-1.6
vorstellen,1.56
unreif,-1.13
unmoralisch,-1.6
befallen,-1.4
anreiz,1.3
gleichgültig,-1.0
minderwertig,-1.8
einwohner,0.07
unschuldig,0.53
wahnsinnig,-1.03
insekt,-0.45
beleidigung,-2.0
intellekt,1.31
geschlechtsverkehr,1.47
intim,1.3
eindringling,-1.19
investieren,0.73
stück,0.0
witz,1.48
jovial,-0.06
veröffentlichung,0.46
kanne,0.6
taschentuch,0.0
ketchup,0.5
kessel,0.04
schlüssel,0.27
tritt,-0.9
kinder,1.76
knoten,0.0
lamm,0.63
lampe,0.85
laterne,1.24
großzügig,2.19
rasen,0.47
prozess,-0.87
faul,-1.4
führer,-1.4
legende,1.07
brief,1.5
leuchtturm,1.48
gelenkig,1.27
lebhaft,1.75
spind,-0.08
verlierer,-1.57
verloren,-1.4
lotterie,0.4
beule,-1.4
maschine,0.13
verrückt,-0.2
magisch,1.2
post,0.63
malaria,-2.1
zerfleischen,-2.28
manisch,-1.4
konsole,0.06
jauche,-1.9
markt,0.8
massaker,-2.8
material,0.07
medizin,1.4
melodie,1.7
erinnerungen,1.0
fröhlich,1.6
unordentlich,-1.07
metall,-0.05
methode,0.25
milch,1.5
verstand,1.9
streich,0.1
elend,-2.1
fehler,-1.6
mobilität,1.53
gussform,0.4
temperamentvoll,1.13
moral,-0.1
moskito,-1.4
trüb,-1.06
muffin,1.1
museum,1.13
mutation,-1.4
mystisch,0.3
unbekleidet,0.44
name,0.59
betäubungsmittel,-0.73
ekelhaft,-1.87
natürlich,1.6
nadel,-0.55
vernachlässigung,-1.87
nervös,-1.4
neurotisch,-1.5
nachrichten,0.36
sympathisch,2.14
brustwarze,0.56
laut,-0.27
blödsinn,-0.27
strick,-0.93
ernähren,0.87
belästigung,-2.07
nonne,-0.45
kinderkrippe,0.81
fettleibigkeit,-1.93
gehorchen,-0.94
widerlich,-2.14
obszön,-0.75
besessenheit,-1.64
komisch,0.7
beleidigen,-1.93
optimismus,2.27
möglichkeit,0.8
orgasmus,2.33
gräueltat,-2.07
außerordentlich,1.13
bewölkt,-0.33
anstrich,0.31
pamphlet,-0.28
lähmung,-1.73
teil,0.38
durchgang,0.29
geduldig,1.13
patriot,-0.57
bußgeld,-1.71
penis,0.33
dachwohnung,1.27
parfüm,1.77
haustier,1.2
phase,0.0
schwein,0.59
kniff,0.43
pistole,-1.5
mitleid,0.0
flach,-0.2
poster,0.25
druck,-1.59
prestige,0.29
stich,-0.9
fortschritt,1.29
ätzend,-1.6
python,-0.8
qualität,1.65
liter,0.5
königin,0.8
schnell,0.94
strahlend,1.48
heizkörper,0.53
ranzig,-1.53
rasierapparat,0.0
reptil,-0.53
beleidigt,-1.65
restaurant,1.25
sitzung,-0.38
revolver,-2.14
starr,-0.7
räuber,-1.53
fels,0.33
rau,-0.4
sicher,1.67
heiliger,0.97
speichern,0.84
abkochen,-0.2
skandal,-1.3
sündenbock,-1.88
narbe,-1.15
schere,0.0
brennend,-0.8
skorpion,-0.4
gefühl,2.21
flinte,-0.52
aufschrei,-1.0
doof,-1.5
langsam,-0.67
schneeregen,-0.67
glatt,0.25
gesellig,0.8
sanft,1.3
lied,1.6
beruhigen,1.06
sauer,-0.9
prügel,-1.92
sphäre,0.2
spray,-0.13
frühling,1.75
stagnierend,-1.0
statue,0.25
gestank,-2.1
steif,-0.7
magen,0.5
hocker,0.14
sturm,-0.1
ofen,1.0
zucker,1.0
sonnenlicht,2.24
sumpf,-0.8
herumfummeln,0.4
geschmack,1.13
taxi,0.06
lehrer,0.05
necken,0.6
zärtlich,1.79
thermometer,0.21
gedanke,1.5
sauber,1.5
werkzeug,0.43
turm,0.27
spielzeug,1.2
reisen,2.24
einladung,1.65
gepäckträger,0.29
abenddämmerung,1.6
einheit,1.18
gerät,0.29
vagina,0.6
weste,-0.09
jungfrau,0.3
seereise,1.5
wagen,1.06
pfeife,0.4
ehefrau,1.27
windmühle,1.16
zwinkern,0.79
wunsch,1.6
einfallsreichtum,1.87
schriftsteller,1.13
yacht,1.0
jung,1.13
jugend,1.55
elan,1.92
